contrato;obra;latitude;longitude
DM-013/2023;Obra 1;;
DPEI-031/2023;Obra 1;-19,7845829;-43,9495673
DP-025/2023;Obra 4;-18,047084055547007;-41,11209493268144
DP-025/2023;Obra 4;-18,164599151304337;-41,04281009471666
DP-025/2023;Obra 2;-18,04921773770409;-41,116123650033
DP-025/2023;Obra 2;-18,070539135570492;-41,2703666945066
DP-025/2023;Obra 3;-17,70397311474817;-40,76297039094467
DP-025/2023;Obra 3;-17,43483532945813;-40,997667034527886
DP-025/2023;Obra 1;-17,73159524180545;-40,78690542510084
DP-025/2023;Obra 1;-17,98110924258916;-40,76136008249123
DM-030/2023;Obra 1;-19,5068923;-42,6044222
DM-031/2023;Obra 1;-21,1079718;-42,9491291
DM-001/2024;Obra 1;;
DM-002/2024;Obra 1;;
DM-22.005/2020-D;Obra 1;-18,9695443;-49,475721
DM-004/2024;Obra 1;-19,80998732532913;-44,21337750859832
DM-22.003/2020-D;Obra 1;-21,7407769;-43,362801
DC-017/2021;Obra 1;-19,0357363;-43,4247512
DC-017/2021;Obra 1;-18,6036292;-43,3789211
PRC-22.034/2017-D;Obra 1;-19,1539469;-45,4370262
DM-036/2021;Obra 1;;
DM-003/2022;Obra 1;;
DC-003/2022;Obra 1;;
DC-22.017/2020;Obra 1;;
DM-017/2022;Obra 1;;
PRC-22.042/2017-C;Obra 1;-19,596021;-46,929564
DM-021/2022;Obra 1;-19,876897408279767;-43,8610853880541
PRC-22.034/2017-E;Obra 1;-19,1539469;-45,4370262
DM-22.012/2020-C;Obra 1;-20,735033;-46,6045231
PRC-22.033/2017-C;Obra 1;-15,832083071686;-43,29558489562
DOV-002/2021;Obra 1;-19,928208;-43,983328
DM-22.003/2020-B;Obra 1;-21,7407769;-43,362801
DP-001/2022;Obra 1;-19,6447323;-43,9044951
DM-038/2022;Obra 1;-17,8517815;-41,5076261
PRC-22.033/2017-E;Obra 1;-15,832083071686;-43,29558489562
PRC-22.003/2019;Obra 2;;
PRC-22.003/2019;Obra 1;;
DM-22.007/2020;Obra 1;-16,1638869;-42,2827817
PRC-22.016/2018-B;Obra 1;-22,4315443;-45,4632342
PRC-22.041/2017-C;Obra 1;-19,8618029;-44,5829004
DP-003/2023;Obra 1;-19,919052;-43,9386685
PRC-24.004/2019;Obra 1;;
PRC-22.017/2018-C;Obra 1;-21,7876304;-46,5421144
DC-025/2022;Obra 1;-16,130373963955886;-45,69912661381943
DC-025/2022;Obra 1;-16,09343215813266;-45,14431704350693
DM-001/2023;Obra 1;-20,7517399;-42,8781847
DM-001/2023;Obra 1;-20,676376;-43,092994
DM-035/2022;Obra 1;-20,3501041;-41,9537316
ATA RP-LOTE 6;Obra 1;-21,5560459;-45,4363875
DM-009/2023;Obra 1;-20,6862468;-43,31208230000001
DM-009/2023;Obra 1;-20,68363975364997;-43,31960662064633
DM-011/2023;Obra 1;-19,1577058;-45,45947899999999
DM-011/2023;Obra 1;-19,18217550000504;-45,51105924998826
DM-011/2023;Obra 1;-19,2280282;-44,9922871
DM-011/2023;Obra 1;-19,13717335008353;-44,61678729981564
DM-011/2023;Obra 1;-19,249164;-44,98715899999999
DM-010/2023;Obra 1;-19,96771371708767;-47,79164347893954
DM-010/2023;Obra 1;-19,860311;-47,432645
DM-010/2023;Obra 1;-19,931921;-47,548762
DM-010/2023;Obra 1;-19,92923765835451;-47,56409282165913
DC-013/2023;Obra 1;-17,67741281138104;-40,89013053254298
DC-013/2023;Obra 1;-17,682080342002248;-40,79078107695357
DM-016/2023;Obra 1;-18,6575487;-41,4022864
DM-016/2023;Obra 1;-18,57740002411995;-41,23943283192445
DP-024/2023;Obra 3;-16,38496639125432;-40,5448922972409
DP-024/2023;Obra 3;-16,609581318364384;-40,570654278254686
DP-024/2023;Obra 1;-16,88553303941864;-42,07096703246253
DP-024/2023;Obra 1;-17,46753231124639;-41,87621484194781
DP-024/2023;Obra 2;-17,503881347221963;-41,88185760002165
DP-024/2023;Obra 2;-17,626148348754317;-41,73707843379648
DM-007/2023;Obra 1;-19,8966539;-48,7133856
DM-007/2023;Obra 1;-19,90662800003527;-48,75250595005432
DM-007/2023;Obra 1;-19,7593005;-48,57099590000001
DM-007/2023;Obra 1;-19,89645450165636;-48,71012594934227
DP-022/2023;Obra 3;-19,809447554201668;-43,77442128168843
DP-022/2023;Obra 3;-19,87431002348811;-43,786973255529546
DP-022/2023;Obra 2;-20,093966764668878;-43,3942177512522
DP-022/2023;Obra 2;-20,16050884522438;-43,29459185574429
DP-022/2023;Obra 2;-20,11574933268376;-43,06668376413074
DP-022/2023;Obra 4;-20,34618035883447;-42,89898903568972
DP-022/2023;Obra 4;-20,287173805190196;-43,03995259591595
DP-022/2023;Obra 1;-19,90497745109627;-43,678391585101295
DP-022/2023;Obra 1;-19,95353402859944;-43,70010930982907
DP-022/2023;Obra 1;-19,9680834576073;-43,796575552751904
DP-023/2023;Obra 2;-16,660712569014574;-45,0851394751252
DP-023/2023;Obra 2;-17,41292597024912;-45,098766170471286
DP-023/2023;Obra 1;-16,687856556742638;-44,364709050489694
DP-023/2023;Obra 1;-16,858737345977865;-44,90251048721981
DM-22.006/2019-D;Obra 1;-18,9226438;-48,2957901
DM-018/2023;Obra 1;;
DM-017/2023;Obra 1;;
DM-022/2023;Obra 1;;
DM-020/2023;Obra 1;;
