contrato;contrato_siad;obra;municipio;portal_de_compras
DC-025/2022;9388867;Obra 1;Urucuia;2301520 000021/2022
DC-026/2022;9417573;Obra 1;Fronteira dos Vales;2301520 000022/2022
DC-026/2022;9417573;Obra 1;Joaíma;2301520 000022/2022
DC-027/2022;9372566;Obra 1;Papagaios;2301520 000041/2022
DC-027/2022;9372566;Obra 1;Pompéu;2301520 000041/2022
DC-028/2022;9378009;Obra 1;Arcos;2301520 000047/2022
DC-028/2022;9378009;Obra 1;Bom Despacho;2301520 000047/2022
DC-028/2022;9378009;Obra 1;Lagoa da Prata;2301520 000047/2022
DC-028/2022;9378009;Obra 1;Moema;2301520 000047/2022
DC-22.013/2020;9261337;Obra 1;Montes Claros;2301520 000002/2020
DC-22.015/2020;9262781;Obra 1;Santana do Paraíso;1301608 000009/2020
DC-22.015/2020;9262781;Obra 2;Santana do Paraíso;1301608 000009/2020
DC-22.016/2020;Rescindido;Obra 1;Teófilo Otoni;2301520 000006/2020
DC-22.016/2020;Rescindido;Obra 2;Teófilo Otoni;2301520 000006/2020
DC-22.017/2020;9261336;Obra 1;Cataguases;2301520 000014/2020
DC-22.018/2020;9261488;Obra 1;Uberlândia;2301520 000007/2020
DC-22.018/2020;9261488;Obra 2;Uberlândia;2301520 000007/2020
DC-22.019/2020;9261489;Obra 1;Alfredo Vasconcelos;2301520 000008/2020
DC-22.019/2020;9261489;Obra 1;Antônio Carlos;2301520 000008/2020
DC-22.019/2020;9261489;Obra 1;Barbacena;2301520 000008/2020
DC-22.019/2020;9261489;Obra 1;Bias Fortes;2301520 000008/2020
DC-22.020/2020;9261490;Obra 1;Sete Lagoas;2301520 000001/2020
DC-22.024/2020;9291650;Obra 1;Itaúna;2301520 000011/2020
DC-9439838/2024;9439838;Obra 1;Belo Horizonte;2301520 000011/2024
DC-9439838/2024;9439838;Obra 1;Córrego Danta;2301520 000011/2024
DC-9439838/2024;9439838;Obra 1;Ouro Branco;2301520 000011/2024
DC-9439838/2024;9439838;Obra 1;Tapiraí;2301520 000011/2024
DC-9439838/2024;9439838;Obra 1;Varginha;2301520 000011/2024
DC-9439921/2024;9439921;Obra 1;Cambuí;1301606 000001/2024
DC-9439921/2024;9439921;Obra 1;Córrego do Bom Jesus;1301606 000001/2024
DC-9441306/2024;9441306;Obra 1;Rio Pardo de Minas;2301520 000012/2024
DC-9441306/2024;9441306;Obra 1;Salinas;2301520 000012/2024
DC-9441306/2024;9441306;Obra 1;Santo Antônio do Retiro;2301520 000012/2024
DC-9441355/2024 ;;Obra 1;Teófilo Otoni;
DC-9444080/2024;9444080;Obra 1;São Francisco;2301520 000017/2024
DC-9444080/2024;9444080;Obra 2;São Francisco;2301520 000017/2024
DC-9445587/2024;9445587;Obra 1;Capetinga;2301520 002220/2024
DC-9445587/2024;9445587;Obra 1;Cássia;2301520 002220/2024
DC-9445591/2024;9445591;Obra 1;Patos de Minas;2301520 002220/2024
